ParticipantName,ParticipantCountry,R1Composer,R1Piece,R1PCString,R2Composer,R2Piece,R2PCString,R3Composer,R3Piece,R3PCString,Placement,Year
Broberg Kenneth,USA,Franz Liszt," Etude 'Wild Jagd' from Transcendental Etudes, S. 139, No. 8","F. Liszt. Etude _Wild Jagd_ from Transcendental Etudes, S. 139, No. 8",,,,,,,3.0,2019
Cano Smit Albert,Spain,Frédéric Chopin," Etude in B minor, op. 25, No.10","F. Chopin. Etude in B minor, op. 25, No.10",Aleksandr Scriabin," Poeme in F-sharp major, op. 32, No. 1","A. Skryabin. Poeme in F-sharp major, op. 32, No. 1",,,,,2019
Cano Smit Albert,Spain,Franz Liszt," Etude in F minor from Transcendental Etudes, S. 139, No. 10","F. Liszt. Etude in F minor from Transcendental Etudes, S. 139, No. 10",Sergei Prokofiev," Sonata No. 7 in B-flat major, op. 83","S. Prokofiev. Sonata No. 7 in B-flat major, op. 83",,,,,2019
Cano Smit Albert,Spain,Pyotr Tchaikovsky," Romance, op. 51 No. 5","P. Tchaikovsky. Romance, op. 51 No. 5",,,,,,,,2019
Cano Smit Albert,Spain,Sergei Rachmaninoff," Etude-tableau in D major, op. 39, No. 9","S. Rachmaninoff. Etude-tableau in D major, op. 39, No. 9",,,,Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23",,,2019
Cano Smit Albert,Spain,Ludwig van Beethoven," Piano Sonata No 17, op. 31, No. 2","L. van Beethoven. Piano Sonata No 17, op. 31, No. 2",Robert Schumann," Humoreske B-flat major, op. 20","R. Schumann. Humoreske B-flat major, op. 20",Johannes Brahms," Piano Concerto No. 1 in D minor, op. 15","P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23']",,2019
Cano Smit Albert,Spain,Johann S. Bach,"  Prelude and Fugue in G minor, Well Tempered Clavier, Book 2, BWV 885, No.16","J. S. Bach. Prelude and Fugue in G minor, Well Tempered Clavier, Book 2, BWV 885, No.16",Johann S. Bach," 'The Art of Fugue',I, IV, II, V, IX —Åontrapunctus, BWV 1080","J. S. Bach. _The Art of Fugue_,I, IV, II, V, IX —Åontrapunctus, BWV 1080",,,"J. Brahms. Piano Concerto No. 1 in D minor, op. 15",,2019
Daneshpour Sara,USA,Frédéric Chopin," Etude in F major, op. 10, No. 8","F. Chopin. Etude in F major, op. 10, No. 8",,,,,,,,2019
Daneshpour Sara,USA,Franz Liszt,"Gnomenreigen' from Two Concert Etudes, S.145","Franz Liszt. _Gnomenreigen_ from Two Concert Etudes, S.145",,,,,,,,2019
Daneshpour Sara,USA,Sergei Rachmaninoff," Etude-tableau in C Minor, op. 39, No. 1","S. Rachmaninoff. Etude-tableau in C Minor, op. 39, No. 1",Sergei Prokofiev," Sonata No. 8 in B-flat major, op. 84","S. Prokofiev. Sonata No. 8 in B-flat major, op. 84",,,,,2019
Daneshpour Sara,USA,,,,Frédéric Chopin," 'Barcarolle', op. 84","F. Chopin. 'Barcarolle', op. 84",Sergei Prokofiev," Piano Concerto No. 2 in G minor, op. 16",,,2019
Daneshpour Sara,USA,Johann S. Bach,"  Prelude and Fugue in G minor, Well-Tempered Clavier, Book 2, BWV 885","J. S. Bach. Prelude and Fugue in G minor, Well-Tempered Clavier, Book 2, BWV 885",Pierre Boulez, 'Incises' (version 2001),P. Boulez. 'Incises' (version 2001),Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23","S. Prokofiev. Piano Concerto No. 2 in G minor, op. 16",,2019
Daneshpour Sara,USA,Joseph Haydn," Piano Sonata in F major, Hob. XVI: 23","Joseph Haydn. Piano Sonata in F major, Hob. XVI: 23",Johann S. Bach, Bach. 'The Art of Fugue' (2 selections),J. S. Bach. _The Art of Fugue_ (2 selections):,,,"P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23']",,2019
Daneshpour Sara,USA,Pyotr Tchaikovsky & M. Pletnev, Pletnev. Suite from the Ballet 'The Sleeping Beauty',P. Tchaikovsky & M. Pletnev. Suite from the Ballet _The Sleeping Beauty_,,,Canon per Augmentationem In Contrario Motu; Contrapunctus No. 4,,,,,2019
Fujita Mao,Japan,Franz Liszt," Etude No. 10 in F minor from Transcendental Etudes, S. 139","F. Liszt. Etude No. 10 in F minor from Transcendental Etudes, S. 139",,,,,,,2.0,2019
Fujita Mao,Japan,Sergei Rachmaninoff," Etude-tableau in E-flat minor, op. 39, No. 5","S. Rachmaninoff. Etude-tableau in E-flat minor, op. 39, No. 5",,,,,,,2.0,2019
Fujita Mao,Japan,Frédéric Chopin," Etude in A minor, op. 25 No. 11","F. Chopin. Etude in A minor, op. 25 No. 11",,,,Sergei Rachmaninoff," Piano Concerto No. 3 in D minor, op. 30",,2.0,2019
Fujita Mao,Japan,Wolfgang Amadeus Mozart," Mozart. Piano Sonata No. 10 in C major, K. 330","W. A. Mozart. Piano Sonata No. 10 in C major, K. 330",Frédéric Chopin," Piano Sonata No. 3 in B minor, op. 58","F. Chopin. Piano Sonata No. 3 in B minor, op. 58",Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23","S. Rachmaninoff. Piano Concerto No. 3 in D minor, op. 30']",2.0,2019
Fujita Mao,Japan,Johann S. Bach,"  Prelude and Fugue in A minor, Well-Tempered Clavier, Book 1, BWV 865","J.S. Bach. Prelude and Fugue in A minor, Well-Tempered Clavier, Book 1, BWV 865",Aleksandr Scriabin," Piano Sonata-Fantasy No. 2 in G-sharp minor, op.19","A. Scriabin. Piano Sonata-Fantasy No. 2 in G-sharp minor, op.19",,,"P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23",2.0,2019
Fujita Mao,Japan,Pyotr Tchaikovsky," 'Dumka', op. 59","P. Tchaikovsky. _Dumka_, op. 59",Sergei Prokofiev," Piano Sonata No. 7 in B-flat major, op. 83","S. Prokofiev. Piano Sonata No. 7 in B-flat major, op. 83",,,,2.0,2019
Gadjiev Alexander,Italy,Franz Liszt," 'Mazeppa' from Transcendental Etudes, S. 139, No. 4","F. Liszt. _Mazeppa_ from Transcendental Etudes, S. 139, No. 4",,,,Sergei Prokofiev," Piano Concerto No. 3 in C major, op. 26",,,2019
Gadjiev Alexander,Italy,Ludwig van Beethoven," Sonata No. 21 in C major ('Waldstein'), op. 53","L. van Beethoven. Sonata No. 21 in C major (_Waldstein_), op. 53",Aleksandr Scriabin," 'Feuillet d' album' op.45 No.1; Etude No. 8 A-flat major, op. 8;","A. Scriabin. _Feuillet d|album_ op.45 No.1; Etude No. 8 A-flat major, op. 8;",Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23","S. Prokofiev. Piano Concerto No. 3 in C major, op. 26']",,2019
Gadjiev Alexander,Italy,Johann S. Bach,"  Prelude and Fugue in E major, WTC, Book 2, BWV 878","J. S. Bach. Prelude and Fugue in E major, WTC, Book 2, BWV 878",Franz Liszt, Fantasia-Sonata for piano 'Apres una lecture du Dante',F. Liszt. Fantasia-Sonata for piano 'Apres una lecture du Dante',,,"P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23",,2019
Gadjiev Alexander,Italy,Sergei Rachmaninoff," Etude-tableau in e-flat minor, op. 39, No. 5","S. Rachmaninoff. Etude-tableau in e-flat minor, op. 39, No. 5",Sergei Prokofiev," Sonata No. 6 in A major, op. 82","S. Prokofiev. Sonata No. 6 in A major, op. 82",,,,,2019
Gadjiev Alexander,Italy,Frédéric Chopin," Etude in E minor, op. 25, No. 5","F. Chopin. Etude in E minor, op. 25, No. 5",Aleksandr Scriabin,"Poeme F-sharp major, op. 32, No. 1; Etude C-sharp minor, op. 42, No. 5","Poeme F-sharp major, op. 32, No. 1; Etude C-sharp minor, op. 42, No. 5",,,,,2019
Gadjiev Alexander,Italy,Pyotr Tchaikovsky," Variations in F major, op. 19, No. 6","P. Tchaikovsky. Variations in F major, op. 19, No. 6",Aleksandr Scriabin,"Preludes Nos. 2 (G-sharp minor), 3 (G-flat major), 4 (E-flat minor), op.16;","Preludes Nos. 2 (G-sharp minor), 3 (G-flat major), 4 (E-flat minor), op.16;",,,,,2019
Geniushene Anna,Russia,Frédéric Chopin," Etudein A flat major, op. 10 No. 10","F. Chopin. Etudein A flat major, op. 10 No. 10",Sergei Prokofiev," Sonata No. 8 in B-flat major, op. 84","S. Prokofiev. Sonata No. 8 in B-flat major, op. 84",Sergei Prokofiev," Piano concerto No. 3 in C major, op. 26",,,2019
Geniushene Anna,Russia,M. Clementi," Sonata in f sharp minor, op. 25 No. 5","M. Clementi. Sonata in f sharp minor, op. 25 No. 5",Claude Debussy, 'Berceuse heroique',C. Debussy. 'Berceuse heroique',Pyotr Tchaikovsky," Piano concerto No. 1 in B-flat minor, op. 23","S. Prokofiev. Piano concerto No. 3 in C major, op. 26']",,2019
Geniushene Anna,Russia,Johann S. Bach,"  Prelude and Fugue in F major, WTC 2, BWV 880","J.S. Bach. Prelude and Fugue in F major, WTC 2, BWV 880",Robert Schumann," Humoresque, op. 20","R. Schumann. Humoresque, op. 20",,,"P. Tchaikovsky. Piano concerto No. 1 in B-flat minor, op. 23",,2019
Geniushene Anna,Russia,Pyotr Tchaikovsky," Scherzo a la Ruse, op. 1","P. Tchaikovsky. 'Scherzo a la Ruse', op. 1",,,,,,,,2019
Geniushene Anna,Russia,Pyotr Tchaikovsky," Romance, in F major, op. 51 No. 5","P. Tchaikovsky. Romance, in F major, op. 51 No. 5",,,,,,,,2019
Geniushene Anna,Russia,Sergei Rachmaninoff," Etude-tableau in E-flat minor, op. 33 No. 5","S. Rachmaninoff. Etude-tableau in E-flat minor, op. 33 No. 5",,,,,,,,2019
Geniushene Anna,Russia,Franz Liszt," Etude in F minor from Transcendental Etudes, S. 139, No. 10","F. Liszt. Etude in F minor from Transcendental Etudes, S. 139, No. 10",,,,,,,,2019
Gugnin Andrey,Russia,Franz Liszt, 'Wilde Jagd' from the cycle 'Transcendental Etude' No. 8,F. Liszt. _Wilde Jagd_ from the cycle 'Transcendental Etude' No. 8,,,,,,,,2019
Gugnin Andrey,Russia,Frédéric Chopin," Etude in A-flat major, op. 25, No. 1","F. Chopin. Etude in A-flat major, op. 25, No. 1",,,,Pyotr Tchaikovsky," Piano concerto No. 1 in B-flat minor, op.23",,,2019
Gugnin Andrey,Russia,Johann S. Bach,"  Prelude and Fugue in A-flat major, The Well-Tempered Clavier, Book1, BWV 862","J.S. Bach. Prelude and Fugue in A-flat major, The Well-Tempered Clavier, Book1, BWV 862",Sergei Prokofiev," Piano Sonata in B-flat major, op. 83, No. 7","S. Prokofiev. Piano Sonata in B-flat major, op. 83, No. 7",Pyotr Tchaikovsky," Piano concerto No. 2 in G major, op. 44","P. Tchaikovsky. Piano concerto No. 1 in B-flat minor, op.23",,2019
Gugnin Andrey,Russia,Ludwig van Beethoven," Piano sonata No. 21 in C major 'Waldstein', op. 53","L. van Beethoven. Piano sonata No. 21 in C major 'Waldstein', op. 53",Johann S. Bach,"Prelude, Gavotte and Jigue from 'Violin Partita' in E minor","J. S. Bach & S. Rachmaninoff. Prelude, Gavotte and Jigue from 'Violin Partita' in E minor",,,"P. Tchaikovsky. Piano concerto No. 2 in G major, op. 44']",,2019
Gugnin Andrey,Russia,Sergei Rachmaninoff," Etudes-tableau in B Minor, op. 39, No. 4","S. Rachmaninoff. Etudes-tableau in B Minor, op. 39, No. 4",Frédéric Chopin," Piano sonata B minor, op. 58, No. 3","F. Chopin. Piano sonata B minor, op. 58, No. 3",,,,,2019
Gugnin Andrey,Russia,Pyotr Tchaikovsky," 'Dumka', op. 59","P. Tchaikovsky. _Dumka_, op. 59",,,,Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23",,,2019
Harliono George,United Kingdom,Johann S. Bach,"  Prelude and Fugue in C-sharpmajor, The Well-Tempered Clavier, BWV 872","J. S. Bach. Prelude and Fugue in C-sharpmajor, The Well-Tempered Clavier, BWV 872",Igor Stravinsky," 'Three Mouvements from Petushka': Dance Russe, Chez Petrushka, La Semaine grasse","I. Stravinsky. _Three Mouvements from Petushka_: Dance Russe, Chez Petrushka, La Semaine grasse",Sergei Rachmaninoff," Piano Concerto No. 2 in C minor, op. 18","P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23",,2019
Harliono George,United Kingdom,Ludwig van Beethoven," Piano Sonata No. 23 F minor (Appassionata), op. 57","L. van Beethoven. Piano Sonata No. 23 F minor (Appassionata), op. 57",Franz Liszt," Romance in E minor 'O pourquoi donc', S. 169","F. Liszt. Romance in E minor _O pourquoi donc_, S. 169",,,"S. Rachmaninoff. Piano Concerto No. 2 in C minor, op. 18']",,2019
Harliono George,United Kingdom,Pyotr Tchaikovsky," 'Natha Valse', op 51","P. Tchaikovsky. _Natha Valse_, op 51",Modest Mussorgsky, 'Pictures from exhibition',M. Mussorgsky. _Pictures from exhibition_,,,,,2019
Harliono George,United Kingdom,Frédéric Chopin ," 5 e-moll, op. 25","F. Chopin Etude No. 5 e-moll, op. 25",,,,,,,,2019
Harliono George,United Kingdom,Sergei Rachmaninoff," Etude-tableau A minor, op. 39, No. 6","S. Rachmaninoff. Etude-tableau A minor, op. 39, No. 6",,,,,,,,2019
Harliono George,United Kingdom,Franz Liszt," Etude 'Harmonies du Soir' from Transcendental Etudes, S. 139, No. 11","F. Liszt. Etude _Harmonies du Soir_ from Transcendental Etudes, S. 139, No. 11",,,,Pyotr Tchaikovsky," Piano Concerto No. 2 in G major, op. 44",,,2019
Kantorow Alexandre,France,Johann S. Bach,"  Prelude and Fugue in E-flat major, WTC, BWV 852","J. S. Bach. Prelude and Fugue in E-flat major, WTC, BWV 852",Johannes Brahms," Rhapsodie in B minor, op. 79 No. 1","J. Brahms. Rhapsodie in B minor, op. 79 No. 1",Johannes Brahms," Piano Concerto No. 2 in B-flat major, op. 83","P. Tchaikovsky. Piano Concerto No. 2 in G major, op. 44",1.0,2019
Kantorow Alexandre,France,Franz Liszt," 'Chasse-neige' from the Transcendental Etudes for piano, S. 139, No. 12","F. Liszt. _Chasse-neige_ from the Transcendental Etudes for piano, S. 139, No. 12",Johannes Brahms," Piano sonata No. 2 in F-sharp minor, op. 2","J. Brahms. Piano sonata No. 2 in F-sharp minor, op. 2",,,"J. Brahms. Piano Concerto No. 2 in B-flat major, op. 83']",1.0,2019
Kantorow Alexandre,France,Frédéric Chopin," Etude in F major, op. 10, No. 8","F. Chopin. Etude in F major, op. 10, No. 8",Igor Stravinsky, Three movements from 'The Firebird Suite' (arr. D. Agosti),I. Stravinsky. Three movements from 'The Firebird Suite' (arr. D. Agosti),,,,1.0,2019
Kantorow Alexandre,France,Pyotr Tchaikovsky," 'Meditation', op. 72, No. 5","P. Tchaikovsky. _Meditation_, op. 72, No. 5",Gabriel Fauré," Nocturne No. 6 in D-flat minor, op. 63","Gabriel Fauré. Nocturne No. 6 in D-flat minor, op. 63",,,,1.0,2019
Kantorow Alexandre,France,Sergei Rachmaninoff," Etude-tableau in D major, op. 39, No. 9","S. Rachmaninoff. Etude-tableau in D major, op. 39, No. 9",,,,,,,1.0,2019
Kim Dohyun,Republic of Korea,Frédéric Chopin," Etude No. 8 in F Major, op. 10","F. Chopin. Etude No. 8 in F Major, op. 10",,,,,,,,2019
Kim Dohyun,Republic of Korea,Pyotr Tchaikovsky," 'Un poco di Chopin', op. 72 No. 15","P. Tchaikovsky. _Un poco di Chopin_, op. 72 No. 15",,,,,,,,2019
Kim Dohyun,Republic of Korea,Pyotr Tchaikovsky & M," Pletnev. Selections from 'Nutcracker Suite', op. 71","P. Tchaikovsky & M. Pletnev. Selections from _Nutcracker Suite_, op. 71",,,,Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23",,,2019
Kim Dohyun,Republic of Korea,Johann S. Bach,"  Prelude and Fugue in G-sharp minor, Well-Tempered Clavier, Book 1, BWV 849","J. S. Bach. Prelude and Fugue in G-sharp minor, Well-Tempered Clavier, Book 1, BWV 849",Frédéric Chopin," Barcarolle, op. 60","F. Chopin. Barcarolle, op. 60",Sergei Prokofiev," Piano Concerto No. 2 in G minor, op. 16","P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23",,2019
Kim Dohyun,Republic of Korea,Wolfgang Amadeus Mozart," Mozart. Piano sonata in F Major, K 332","V. A. Mozart. Piano sonata in F Major, K 332",Frédéric Chopin," 12 Etudes, op. 25","F. Chopin. 12 Etudes, op. 25",,,"S. Prokofiev. Piano Concerto No. 2 in G minor, op. 16']",,2019
Kim Dohyun,Republic of Korea,Sergei Rachmaninoff," Etude-tableau in A minor, op. 39, No. 6","S. Rachmaninoff. Etude-tableau in A minor, op. 39, No. 6",Igor Stravinsky," Three Mouvements from 'Petushka': Dance Russe, Chez Petrushka, La Semainegrasse.","I. Stravinsky. Three Mouvements from _Petushka_: Dance Russe, Chez Petrushka, La Semainegrasse.",,,,,2019
Kim Dohyun,Republic of Korea,Pyotr Tchaikovsky,March; Sugar Plum Fairy; Tarantella; Trepak,March; Sugar Plum Fairy; Tarantella; Trepak,,,,,,,,2019
Kim Dohyun,Republic of Korea,Franz Liszt," 'Mazeppa' from the Transcendental Etudes for piano, S. 139 No. 4","F. Liszt. _Mazeppa_ from the Transcendental Etudes for piano, S. 139 No. 4",,,,,,,,2019
Kopachevsky Philipp,Russia,Sergei Rachmaninoff," Etudes-tableau in D Minor, op. 33, No. 5","S. Rachmaninoff. Etudes-tableau in D Minor, op. 33, No. 5",,,,,,,,2019
Kopachevsky Philipp,Russia,Franz Liszt," Etude in A minor from 'Grandes Etudes de Paganini', S. 140","F. Liszt. Etude in A minor from _Grandes Etudes de Paganini_, S. 140",,,,,,,,2019
Kopachevsky Philipp,Russia,Frédéric Chopin," Etude in A–flat major, op. 10, No. 1","F. Chopin. Etude in A–flat major, op. 10, No. 1",Edvard Grieg   , The Death of Ase; 3. Anitra's dance; 4. In the Hall of the Mountain King,1. Morning Mood; 2. The Death of Ase; 3. Anitra|s dance; 4. In the Hall of the Mountain King,,,,,2019
Kopachevsky Philipp,Russia,Pyotr Tchaikovsky," The Seasons, op. 37:","P. Tchaikovsky. The Seasons, op. 37:",Aleksandr Scriabin," 'Vers la flamme', op. 72","A. Scriabin. _Vers la flamme_, op. 72",Sergei Rachmaninoff," Rhapsody on a Theme of Paganini, A minor, op. 43",,,2019
Kopachevsky Philipp,Russia,Joseph Haydn," Piano Sonata in A-flat major, Hob. XVI: 46","Joseph Haydn. Piano Sonata in A-flat major, Hob. XVI: 46",Nikolái Médtner," Canzona Serenada from the cycle Forgotten Melodies, op. 38, No. 6","N. Medtner. Canzona Serenada from the cycle Forgotten Melodies, op. 38, No. 6",Pyotr Tchaikovsky," Piano Concerto No.1 in B-flat minor, op. 23","S. Rachmaninoff. Rhapsody on a Theme of Paganini, A minor, op. 43']",,2019
Kopachevsky Philipp,Russia,Johann S. Bach,"  Prelude and Fugue in C minor, WTC, Book 1, BWV 846","J. S. Bach. Prelude and Fugue in C minor, WTC, Book 1, BWV 846",Robert Schumann," 'Carnaval', op. 9","R. Schumann. _Carnaval_, op. 9",,,"P. Tchaikovsky. Piano Concerto No.1 in B-flat minor, op. 23",,2019
Kopachevsky Philipp,Russia,,,May: White Nights; June: Barcarolle; July: Song of the Reaper,"Edvard Grieg , G. Ginsburg"," Suite No. 1 'Peer Gynt', op. 46","Edvard Grieg & G. Ginsburg. Suite No. 1 _Peer Gynt_, op. 46",,,,,2019
Liu Xiaoyu,Canada,Sergei Rachmaninoff," Etude-tableau in D major, op. 39, No. 9","S. Rachmaninoff. Etude-tableau in D major, op. 39, No. 9",Maurice Ravel," Alborada del gracioso, V. La vallee des cloches","Miroirs: III. Une barque sur l|ocean, IV. Alborada del gracioso, V. La vallee des cloches",,,,,2019
Liu Xiaoyu,Canada,Frédéric Chopin," Etude in C-sharp minor,op. 10, No. 4","F. Chopin. Etude in C-sharp minor,op. 10, No. 4",,,,Sergei Rachmaninoff," Rhapsody on a Theme of Paganini, A minor, op. 43",,,2019
Liu Xiaoyu,Canada,Ludwig van Beethoven: Sonata No," Sonata No. 21 in C major ('Waldstein'), op. 53","L. van Beethoven: Sonata No. 21 in C major (_Waldstein_), op. 53",Aleksandr Scriabin," Piano Sonata No. 4 in F&sharp major, op. 30","A. Scriabin. Piano Sonata No. 4 in F&sharp major, op. 30",Pyotr Tchaikovsky," Piano Concerto No. 2 in G major, op. 44","S. Rachmaninoff. Rhapsody on a Theme of Paganini, A minor, op. 43']",,2019
Liu Xiaoyu,Canada,Johann S. Bach,"  Prelude and Fugue No.4 in C- flat minor WTC, BWV 849","J. S. Bach. Prelude and Fugue No.4 in C- flat minor WTC, BWV 849",Johann S. Bach," Bach. French Suite No.5 in G major, BWV 816","J.S. Bach. French Suite No.5 in G major, BWV 816",,,"P. Tchaikovsky. Piano Concerto No. 2 in G major, op. 44",,2019
Liu Xiaoyu,Canada,Franz Liszt," Etude 'La Campanella' de Paganini No. 3 in G-flat minor, S. 141","F. Liszt. Etude _La Campanella_ de Paganini No. 3 in G-flat minor, S. 141",Samuel Barber," Sonata for Piano in E-flat minor, op. 26","S. Barber. Sonata for Piano in E-flat minor, op. 26",,,,,2019
Liu Xiaoyu,Canada,Pyotr Tchaikovsky," Romance in F minor, op. 5","P. Tchaikovsky. Romance in F minor, op. 5",,,,,,,,2019
Liu Xiaoyu,Canada,Pyotr Tchaikovsky & E. Wild.,"Dance of the four swans from 'Swan Lake' Suite, op. 20","P. Tchaikovsky & E. Wild. Dance of the four swans from 'Swan Lake' Suite, op. 20",,,,Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23",,,2019
Malofeev Alexander,Russia,Johann S. Bach,"  Prelude and Fugue in A minor, The Well-Tempered Clavier, Book 2, BWV 889","J. S. Bach. Prelude and Fugue in A minor, The Well-Tempered Clavier, Book 2, BWV 889",Sergei Rachmaninoff," Piano Sonata No. 2 in B-flat minor, op. 36","S. Rachmaninoff. Piano Sonata No. 2 in B-flat minor, op. 36",Sergei Prokofiev," Piano Concerto No. 3 in C major, op. 26","P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23",,2019
Malofeev Alexander,Russia,Ludwig van Beethoven," Piano Sonata No 23 F minor, op. 57","L. van Beethoven. Piano Sonata No 23 F minor, op. 57",P. Tchaikovsky," 'The seasons': October 'Autumn song', November 'On the Troika'","P. Tchaikovsky. _The seasons_: October _Autumn song_, November _On the Troika_",,,"S. Prokofiev. Piano Concerto No. 3 in C major, op. 26']",,2019
Malofeev Alexander,Russia,Frédéric Chopin," Etude A minor, op. 25, No. 11","F. Chopin. Etude A minor, op. 25, No. 11",Sergei Prokofiev," Piano sonata No. 7 in B-flat major, op. 83","S. Prokofiev. Piano sonata No. 7 in B-flat major, op. 83",,,,,2019
Malofeev Alexander,Russia,Sergei Rachmaninoff," Etude-tableau in A minor, op. 39, No. 6","S. Rachmaninoff. Etude-tableau in A minor, op. 39, No. 6",,,,,,,,2019
Malofeev Alexander,Russia,Franz Liszt," 'Mazeppa' from Transcendental Etudes, S. 139, No. 4","F. Liszt. _Mazeppa_ from Transcendental Etudes, S. 139, No. 4",,,,,,,,2019
Malofeev Alexander,Russia,Pyotr Tchaikovsky," 'Dumka', op. 59","P. Tchaikovsky. _Dumka_, op. 59","P. Tchaikovsky , M. Pletnev", Pletnev. 'Andante maestoso' from ballet 'Nutcracker',P. Tchaikovsky & M. Pletnev. _Andante maestoso_ from ballet _Nutcracker_,Sergei Rachmaninoff," Piano concerto No. 3 in D minor, op. 30",,,2019
Melnikov Alexey,Russia,Ludwig van Beethoven," Piano sonata No. 23 in F minor ('Appassionata'), op. 57","L. van Beethoven. Piano sonata No. 23 in F minor (_Appassionata_), op. 57",Aleksandr Scriabin," Prelude in C major, A minor, B minor, F-sharp minor, B major, G sharp minor, E flat minor, op. 11","A. Scriabin. Prelude in C major, A minor, B minor, F-sharp minor, B major, G sharp minor, E",,,"S. Rachmaninoff. Piano concerto No. 3 in D minor, op. 30']",3.0,2019
Melnikov Alexey,Russia,Pyotr Tchaikovsky, 'The Seasons': October 'Autumn Song',P. Tchaikovsky. _The Seasons_: October _Autumn Song_,,,"flat minor, op. 11",,,,3.0,2019
Melnikov Alexey,Russia,Frédéric Chopin," Etude in C major, op. 10, No. 1","F. Chopin. Etude in C major, op. 10, No. 1",Sergei Rachmaninoff," Etude-tableau in C minor, op. 33, No. 3","S. Rachmaninoff. Etude-tableau in C minor, op. 33, No. 3",,,,3.0,2019
Melnikov Alexey,Russia,Sergei Rachmaninoff," Etude-tableau in C major, op. 33, No. 2","S. Rachmaninoff. Etude-tableau in C major, op. 33, No. 2",Sergei Prokofiev," 4 Etudes, op. 2","S. Prokofiev. 4 Etudes, op. 2",,,,3.0,2019
Melnikov Alexey,Russia,Franz Liszt," Etude in F minor from Transcendental Etudes, S. 139 No. 10","F. Liszt. Etude in F minor from Transcendental Etudes, S. 139 No. 10",,,,Pyotr Tchaikovsky," Piano concerto No. 1 in B-flat minor, op. 23",,3.0,2019
Melnikov Alexey,Russia,Johann S. Bach,"  Prelude and Fugue in B-flat minor, WTC, book I, BWV 867","J.S. Bach. Prelude and Fugue in B-flat minor, WTC, book I, BWV 867",Franz Liszt," Sonata in B minor, S.178","F. Liszt. Sonata in B minor, S.178",Sergei Prokofiev," Piano Concerto No. 2 in G minor, op. 16","P. Tchaikovsky. Piano concerto No. 1 in B-flat minor, op. 23",3.0,2019
Mun Arseny,Russia,Ludwig van Beethoven," Piano Sonata No. 23, F minor (Appassionata), op. 57","L. van Beethoven. Piano Sonata No. 23, F minor (Appassionata), op. 57",Maurice Ravel, 'Undine' from the cycle 'Gaspard de la nuit',M. Ravel. 'Undine' from the cycle 'Gaspard de la nuit',,,"S. Prokofiev. Piano Concerto No. 2 in G minor, op. 16']",,2019
Mun Arseny,Russia,Frédéric Chopin," Etude in A–flat major, op. 10, No. 1","F. Chopin. Etude in A–flat major, op. 10, No. 1",,,,,,,,2019
Mun Arseny,Russia,Sergei Rachmaninoff," Etudes-tableau in F-sharp minor, op. 39, No. 3","S. Rachmaninoff. Etudes-tableau in F-sharp minor, op. 39, No. 3",,,,,,,,2019
Mun Arseny,Russia,Franz Liszt," Etude 'La Campanella' in G-sharp minor from 'Grandes Etudes de Paganini', S. 140","F. Liszt. Etude 'La Campanella' in G-sharp minor from _Grandes Etudes de Paganini_, S. 140",,,,Pyotr Tchaikovsky," Piano Concerto No. 1 in B-flat minor, op. 23",,,2019
Mun Arseny,Russia,Johann S. Bach,"  Prelude and Fugue in D-sharp minor, The Well-Tempered Clavier, Book 2, BWV 877","J. S. Bach. Prelude and Fugue in D-sharp minor, The Well-Tempered Clavier, Book 2, BWV 877",Robert Schumann, Carnaval. op. 9,R. Schumann. Carnaval. op. 9,,,"P. Tchaikovsky. Piano Concerto No. 1 in B-flat minor, op. 23",,2019
Mun Arseny,Russia,Pyotr Tchaikovsky," 'Dumka', op. 59","P. Tchaikovsky. _Dumka_, op. 59",Sergei Prokofiev," Piano Sonata No. 7 in B-flat major, op. 83","S. Prokofiev. Piano Sonata No. 7 in B-flat major, op. 83",,,,,2019
Shishkin Dmitry,Russia,Pyotr Tchaikovsky," 'Scherzo a la Russe', op. 1 No. 1","P. Tchaikovsky. _Scherzo a la Russe_, op. 1 No. 1",Sergei Prokofiev," 4 Etudes, op. 2","S. Prokofiev. 4 Etudes, op. 2",,,,2.0,2019
Shishkin Dmitry,Russia,Frédéric Chopin," Etude in c-sharp minor,op. 10, No. 4","F. Chopin. Etude in c-sharp minor,op. 10, No. 4",Sergei Rachmaninoff," Piano Sonata No. 2 in B-flat minor, op. 36","S. Rachmaninoff. Piano Sonata No. 2 in B-flat minor, op. 36",,,,2.0,2019
